,X_diff,Y_diff
Minimum,-3.15234375,-4.9609375
Maximum,2.81640625,2.98828125
Average,1.6629695892333984e-05,-7.003545761108398e-05
Std.,1.52734375,1.876953125
RMSE,1.544921875,1.8984375
